company_name,member_type,address,registration,member_id,profile_url,source,scraped_date
AEMP ENGINEERS PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,7155,https://www.scal.com.sg/memberlisting-details/7155-aemp-engineers-pte-ltd,SCAL Member Directory,2026-01-14
AEON INTERIOR PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,4318,https://www.scal.com.sg/memberlisting-details/4318-aeon-interior-pte-ltd,SCAL Member Directory,2026-01-14
AERA INTERIOR PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,5612,https://www.scal.com.sg/memberlisting-details/5612-aera-interior-pte-ltd,SCAL Member Directory,2026-01-14
AFTERTOUCH WORKS PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,6503,https://www.scal.com.sg/memberlisting-details/6503-aftertouch-works-pte-ltd,SCAL Member Directory,2026-01-14
AG DOOR PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,6127,https://www.scal.com.sg/memberlisting-details/6127-ag-door-pte-ltd,SCAL Member Directory,2026-01-14
AGB RENOVATES PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,6636,https://www.scal.com.sg/memberlisting-details/6636-agb-renovates-pte-ltd,SCAL Member Directory,2026-01-14
AH HONG PAINTING CONTRACTOR PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,5845,https://www.scal.com.sg/memberlisting-details/5845-ah-hong-painting-contractor-pte-ltd,SCAL Member Directory,2026-01-14
AH QI CONSTRUCTION,SLOTS,"10 Tannery Lane, Singapore 347773",,4319,https://www.scal.com.sg/memberlisting-details/4319-ah-qi-construction,SCAL Member Directory,2026-01-14
AHC (AUTHENTIC HOME CREATIONS) PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,4320,https://www.scal.com.sg/memberlisting-details/4320-ahc-authentic-home-creations-pte-ltd,SCAL Member Directory,2026-01-14
AI DECOR PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,7502,https://www.scal.com.sg/memberlisting-details/7502-ai-decor-pte-ltd,SCAL Member Directory,2026-01-14
AI LYE CONTRACTOR PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,4823,https://www.scal.com.sg/memberlisting-details/4823-ai-lye-contractor-pte-ltd,SCAL Member Directory,2026-01-14
AIK CHUAN CONSTRUCTION PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,58,https://www.scal.com.sg/memberlisting-details/58-aik-chuan-construction-pte-ltd,SCAL Member Directory,2026-01-14
AIK ELECTRICAL & CONSTRUCTION PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,5973,https://www.scal.com.sg/memberlisting-details/5973-aik-electrical-construction-pte-ltd,SCAL Member Directory,2026-01-14
AIK HOCK INDUSTRIAL PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,4322,https://www.scal.com.sg/memberlisting-details/4322-aik-hock-industrial-pte-ltd,SCAL Member Directory,2026-01-14
AIK LEONG PLUMBING CONSTRUCTION PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,59,https://www.scal.com.sg/memberlisting-details/59-aik-leong-plumbing-construction-pte-ltd,SCAL Member Directory,2026-01-14
AIR CONNECTION DESIGN PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,5207,https://www.scal.com.sg/memberlisting-details/5207-air-connection-design-pte-ltd,SCAL Member Directory,2026-01-14
AIRCON GURU ENGINEERING PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,6446,https://www.scal.com.sg/memberlisting-details/6446-aircon-guru-engineering-pte-ltd,SCAL Member Directory,2026-01-14
AIRCOOL PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,7341,https://www.scal.com.sg/memberlisting-details/7341-aircool-pte-ltd,SCAL Member Directory,2026-01-14
