company_name,member_id,profile_url,source,scraped_date
IDS Science and Technology Pte. Ltd.,2969612,https://speta.org/membership-directory/corporate/2969612#page-member-ajax,SPETA Corporate Directory,2026-01-14
IEG Oilfield Services Pte Ltd (Singapore),1395210,https://speta.org/membership-directory/corporate/1395210#page-member-ajax,SPETA Corporate Directory,2026-01-14
Innovalues Holdings Pte Ltd,1395212,https://speta.org/membership-directory/corporate/1395212#page-member-ajax,SPETA Corporate Directory,2026-01-14
Insphere Technology Pte Ltd,2195929,https://speta.org/membership-directory/corporate/2195929#page-member-ajax,SPETA Corporate Directory,2026-01-14
Intec Precision Equipment Pte Ltd,1395213,https://speta.org/membership-directory/corporate/1395213#page-member-ajax,SPETA Corporate Directory,2026-01-14
IPI,1401262,https://speta.org/membership-directory/corporate/1401262#page-member-ajax,SPETA Corporate Directory,2026-01-14
iPlast 4.0 Pte Ltd,2324474,https://speta.org/membership-directory/corporate/2324474#page-member-ajax,SPETA Corporate Directory,2026-01-14
ISENSE-ASV PTE LTD,2135273,https://speta.org/membership-directory/corporate/2135273#page-member-ajax,SPETA Corporate Directory,2026-01-14
JCS – ECHIGO PTE LTD,1395214,https://speta.org/membership-directory/corporate/1395214#page-member-ajax,SPETA Corporate Directory,2026-01-14
JF Strategic Management Pte Ltd,1395216,https://speta.org/membership-directory/corporate/1395216#page-member-ajax,SPETA Corporate Directory,2026-01-14
JM VISTEC SYSTEM PTE LTD,1395215,https://speta.org/membership-directory/corporate/1395215#page-member-ajax,SPETA Corporate Directory,2026-01-14
jMedtech Coating Technologies Pte Ltd,1395217,https://speta.org/membership-directory/corporate/1395217#page-member-ajax,SPETA Corporate Directory,2026-01-14
jMedtech Pte Ltd,2771371,https://speta.org/membership-directory/corporate/2771371#page-member-ajax,SPETA Corporate Directory,2026-01-14
JTC Corporation,1401282,https://speta.org/membership-directory/corporate/1401282#page-member-ajax,SPETA Corporate Directory,2026-01-14
Jungberg Technologies Pte Ltd,1395219,https://speta.org/membership-directory/corporate/1395219#page-member-ajax,SPETA Corporate Directory,2026-01-14
